student_id,gender.male,race_ethnicity.group A,race_ethnicity.group B,race_ethnicity.group C,race_ethnicity.group D,race_ethnicity.group E,parental_level_of_education.associate's degree,parental_level_of_education.bachelor's degree,parental_level_of_education.high school,parental_level_of_education.master's degree,parental_level_of_education.some college,parental_level_of_education.some high school,lunch.standard,test_preparation_course.completed,math_score,reading_score,performance_category.Average,performance_category.Excellent,performance_category.Good,performance_category.Poor,prep_parent_edu.completed.associate's degree,prep_parent_edu.completed.bachelor's degree,prep_parent_edu.completed.high school,prep_parent_edu.completed.master's degree,prep_parent_edu.completed.some college,prep_parent_edu.completed.some high school,prep_parent_edu.none.associate's degree,prep_parent_edu.none.bachelor's degree,prep_parent_edu.none.high school,prep_parent_edu.none.master's degree,prep_parent_edu.none.some college,prep_parent_edu.none.some high school,prep_lunch.completed.free/reduced,prep_lunch.completed.standard,prep_lunch.none.free/reduced,prep_lunch.none.standard
1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0.389828449271044,0.19390156048405954,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
2,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0.19197946469768387,1.4267620651513453,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
3,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1.5769223567112047,1.7692233164478135,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
4,1,1,0,0,0,0,1,0,0,0,0,0,0,0,-1.2589130888402904,-0.8334821934053451,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
5,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0.6536270953688574,0.6048550620398214,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
6,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0.3238787877465906,0.9473163133362897,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
7,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1.445023033662298,1.7692233164478135,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
8,1,0,1,0,0,0,0,0,0,0,1,0,0,0,-1.720560719511464,-1.7923736970354562,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
9,1,0,0,0,1,0,0,0,1,0,0,0,0,1,-0.137768842924583,-0.35403644159028963,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
10,0,0,1,0,0,0,0,0,1,0,0,0,0,0,-1.8524600425603708,-0.6280054426274643,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
11,1,0,0,1,0,0,1,0,0,0,0,0,1,0,-0.5334668120713032,-1.038958944183226,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
12,1,0,0,0,1,0,1,0,0,0,0,0,1,0,-1.720560719511464,-1.1759434447018133,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
13,0,0,1,0,0,0,0,0,1,0,0,0,1,0,-0.07181918140012963,0.8103318128177024,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
14,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0.7855264184177642,0.19390156048405954,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
15,0,1,0,0,0,0,0,0,0,1,0,0,1,0,-1.0610641042669302,-1.1074511944425198,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
16,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0.19197946469768387,0.3993783112619405,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
17,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1.445023033662298,1.3582698148920516,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
18,0,0,1,0,0,0,0,0,0,0,0,1,0,0,-3.1714532730494382,-2.545788449887686,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
19,1,0,0,1,0,0,0,0,0,1,0,0,0,1,-1.3248627503647437,-1.86086594729475,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
20,0,0,0,1,0,0,1,0,0,0,0,0,0,0,-0.7972654581691168,-0.7649899431460515,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
